"decimalLongitude","decimalLatitude","year","month","eventDate","scientificName","basisOfRecord","coordinateUncertaintyInMeters","institutionCode","decade"
-106.3319,43.1661,2013,"8","2013-08-06","Epicauta normalis","PreservedSpecimen",NA,"BYU",2010
-111.453611,37.775833,2001,"7","2001-07-12","Epicauta normalis","PreservedSpecimen",NA,"BYU",2000
-109.692878,34.257543,1957,"6","1957-06-25","Epicauta normalis","PreservedSpecimen","3036","NMSU",1950
-112.57717,39.352178,1950,"8","1950-08-05","Epicauta normalis","PreservedSpecimen","2703","UMNH",1950
-111.850766,40.391617,1949,"6","1949-06-30","Epicauta normalis","PreservedSpecimen","8112","NMSU",1940
-112.02056,40.69694,1926,"6","1926-06-27","Epicauta normalis","PreservedSpecimen","3036","UMNH",1920
-111.418382,37.776006,2000,"8","2000-08-24","Epicauta normalis","PreservedSpecimen","210","BYU",2000
-111.861441,40.746266,1950,"7","1950-07-29","Epicauta normalis","PreservedSpecimen","15356","UMNH",1950
-113.905009,41.348257,1995,"7","1995-07-29","Epicauta normalis","PreservedSpecimen","3036","BYU",1990
-109.692878,34.257543,1957,"6","1957-06-25","Epicauta normalis","PreservedSpecimen","3036","NMSU",1950
-112.082376,40.760621,1948,"8","1948-08-02","Epicauta normalis","PreservedSpecimen","1055","UMNH",1940
-112.375778,39.519119,1930,"6","1930-06-00","Epicauta normalis","PreservedSpecimen","1085","UMNH",1930
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-113.05,37.3,1929,"7","1929-07-14","Epicauta normalis","PreservedSpecimen","14258","UMNH",1920
-111.850257,40.756293,1946,"8","1946-08-08","Epicauta normalis","PreservedSpecimen","223","UMNH",1940
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-111.635196,39.47241,1980,"8","1980-08-11","Epicauta normalis","PreservedSpecimen","3193","BYU",1980
-112.312361,40.328385,1953,"8","1953-08-09","Epicauta normalis","PreservedSpecimen","4604","BYU",1950
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-112.193053,40.760115,1950,"7","1950-07-26","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-112.193053,40.760115,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-105.937799,35.686975,1978,"8","1978-08-15","Epicauta normalis","PreservedSpecimen","12198","UNM",1970
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-112.193053,40.760115,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-109.094502,40.520408,2011,"6","2011-06-23","Epicauta normalis","PreservedSpecimen","3036","BYU",2010
-111.99083,39.45763,2006,"7","2006-07-11","Epicauta normalis","PreservedSpecimen",NA,"BYU",2000
-103.79995,40.25026,1960,"8","1960-08-05","Epicauta normalis","Preserved specimen",NA,"TAMU",1960
-111.861441,40.746266,1949,"7","1949-07-24","Epicauta normalis","PreservedSpecimen","15356","UMNH",1940
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-106.3319,43.1661,2013,"8","2013-08-06","Epicauta normalis","PreservedSpecimen",NA,"BYU",2010
-108.730672,42.833014,1958,"7","1958-07-24","Epicauta normalis","PreservedSpecimen","2996","BYU",1950
-112.193053,40.760115,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-112.29945,40.532032,1946,"6","1946-06-07","Epicauta normalis","PreservedSpecimen","11143","BYU",1940
-113.5077,38.3647,2014,"6","2014-06-23","Epicauta normalis","PreservedSpecimen",NA,"BYU",2010
-111.948757,41.136323,1960,"7","1960-07-15","Epicauta normalis","PreservedSpecimen","4744","BYU",1960
-111.861441,40.746266,1942,"6","1942-06-20","Epicauta normalis","PreservedSpecimen","15356","UMNH",1940
-108.730672,42.833014,1958,"7","1958-07-24","Epicauta normalis","PreservedSpecimen","2996","BYU",1950
-112.312361,40.328385,1953,"8","1953-08-09","Epicauta normalis","PreservedSpecimen","4604","BYU",1950
-111.861441,40.746266,1950,"7","1950-07-29","Epicauta normalis","PreservedSpecimen","15356","UMNH",1950
-106.3319,43.1661,2013,"8","2013-08-06","Epicauta normalis","PreservedSpecimen",NA,"BYU",2010
-107.671449,38.022772,1953,"6","1953-06-11","Epicauta normalis","PreservedSpecimen","2554","BYU",1950
-109.524178,41.325294,1959,"7","1959-07-09","Epicauta normalis","PreservedSpecimen","854","UMNH",1950
-112.486197,38.886466,1992,"7","1992-07-27","Epicauta normalis","PreservedSpecimen","2461","BYU",1990
-112.02056,40.69694,1926,"6","1926-06-27","Epicauta normalis","PreservedSpecimen","3036","UMNH",1920
-111.047413,42.182989,1910,"6","1910-06-20","Epicauta normalis","PreservedSpecimen","3036","UMNH",1910
-111.65056,35.19806,1967,"7","1967-07-12","Epicauta normalis","PreservedSpecimen","11789","NAUF",1960
-109.692964,34.25357,1957,"6","1957-06-25","Epicauta normalis","PreservedSpecimen","3036","NMSU",1950
-112.0024,39.43857,2006,"7","2006-07-12","Epicauta normalis","PreservedSpecimen",NA,"BYU",2000
-111.987725,41.719374,1983,"6","1983-06-30","Epicauta normalis","PreservedSpecimen","1506","BYU",1980
-112.187662,40.746459,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","1068","UMNH",1950
-113.905009,41.348257,1995,"7","1995-07-29","Epicauta normalis","PreservedSpecimen","3036","BYU",1990
-111.861441,40.746266,1946,"8","1946-08-08","Epicauta normalis","PreservedSpecimen","15356","UMNH",1940
-106.3319,43.1661,2013,"8","2013-08-06","Epicauta normalis","PreservedSpecimen",NA,"BYU",2010
-111.861441,40.746266,1949,"7","1949-07-24","Epicauta normalis","PreservedSpecimen","15356","UMNH",1940
-112.16943,39.71475,2006,"6","2006-06-15","Epicauta normalis","PreservedSpecimen",NA,"BYU",2000
-112.193053,40.760115,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-112.72044,37.19305,2003,"8","2003-08-04","Epicauta normalis","PreservedSpecimen",NA,"BYU",2000
-111.861441,40.746266,1923,"8","1923-08-27","Epicauta normalis","PreservedSpecimen","15356","UMNH",1920
-111.861441,40.746266,1949,"7","1949-07-24","Epicauta normalis","PreservedSpecimen","15356","UMNH",1940
-113.061992,46.164648,1941,"8","1941-08-14","Epicauta normalis","PreservedSpecimen","1026","UMNH",1940
-106.3319,43.1661,2013,"8","2013-08-06","Epicauta normalis","PreservedSpecimen",NA,"BYU",2010
-112.193053,40.760115,1950,"7","1950-07-26","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-111.953285,41.975481,1983,"7","1983-07-28","Epicauta normalis","PreservedSpecimen","4127","BYU",1980
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-112.193053,40.760115,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-111.948757,41.136323,1960,"7","1960-07-15","Epicauta normalis","PreservedSpecimen","4744","BYU",1960
-108.72833,39.15889,1952,"7","1952-07-12","Epicauta normalis","PreservedSpecimen","5993","BYU",1950
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-113.212676,40.188681,1953,"7","1953-07-02","Epicauta normalis","PreservedSpecimen","301","BYU",1950
-112.57717,39.352178,1950,"8","1950-08-05","Epicauta normalis","PreservedSpecimen","2703","UMNH",1950
-112.312361,40.328385,1953,"8","1953-08-09","Epicauta normalis","PreservedSpecimen","4604","BYU",1950
-111.785211,39.97551,1972,"6","1972-06-30","Epicauta normalis","PreservedSpecimen","2919","BYU",1970
-111.861441,40.746266,1950,"7","1950-07-29","Epicauta normalis","PreservedSpecimen","15356","UMNH",1950
-118.70597,42.980291,1962,"8","1962-08-15","Epicauta normalis","PreservedSpecimen","11283","NMSU",1960
-112.7,37.05,1991,"0","1991-00-00","Epicauta normalis","PreservedSpecimen",NA,"BYU",1990
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-111.99255,39.41016,2006,"7","2006-07-11","Epicauta normalis","PreservedSpecimen",NA,"BYU",2000
-111.723886,40.167387,1937,"7","1937-07-11","Epicauta normalis","PreservedSpecimen","1545","UMNH",1930
-111.647826,40.717406,1924,"8","1924-08-03","Epicauta normalis","PreservedSpecimen","248","UMNH",1920
-113.905009,41.348257,1995,"7","1995-07-29","Epicauta normalis","PreservedSpecimen","3036","BYU",1990
-103.692174,39.263876,1998,"7","1998-07-04","Epicauta normalis","PreservedSpecimen","2657","BYU",1990
-109.334852,40.369685,1953,"7","1953-07-29","Epicauta normalis","PreservedSpecimen","3036","NMSU",1950
-106.798494,42.96224,2013,"8","2013-08-07","Epicauta normalis","PreservedSpecimen","101159","BYU",2010
-112.193053,40.760115,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-112.193053,40.760115,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-112.306892,39.726615,2010,"6","2010-06-21","Epicauta normalis","PreservedSpecimen","3036","BYU",2010
-111.861441,40.746266,1949,"7","1949-07-24","Epicauta normalis","PreservedSpecimen","15356","UMNH",1940
-109.332425,40.370591,1946,"6","1946-06-29","Epicauta normalis","PreservedSpecimen","454","UMNH",1940
-112.312361,40.328385,1953,"8","1953-08-09","Epicauta normalis","PreservedSpecimen","4604","BYU",1950
-110.502495,44.583077,1929,"8","1929-08-04","Epicauta normalis","PreservedSpecimen","60911","UMNH",1920
-111.635196,39.47241,1980,"8","1980-08-11","Epicauta normalis","PreservedSpecimen","3193","BYU",1980
-112.84167,37.63333,1955,"8","1955-08-05","Epicauta normalis","PreservedSpecimen","1807","UMNH",1950
-103.692174,39.263876,1998,"7","1998-07-04","Epicauta normalis","PreservedSpecimen","2657","BYU",1990
-113.905009,41.348257,1995,"7","1995-07-29","Epicauta normalis","PreservedSpecimen","3036","BYU",1990
-111.297665,37.725822,2002,"8","2002-08-07","Epicauta normalis","PreservedSpecimen","1506","BYU",2000
-111.861441,40.746266,1923,"8","1923-08-13","Epicauta normalis","PreservedSpecimen","15356","UMNH",1920
-111.484134,40.168017,1962,"7","1962-07-04","Epicauta normalis","PreservedSpecimen","856","BYU",1960
-112.721944,37.044722,2000,"7","2000-07-08","Epicauta normalis","PreservedSpecimen",NA,"BYU",2000
-111.861441,40.746266,1930,"8","1930-08-18","Epicauta normalis","PreservedSpecimen","15356","UMNH",1930
-105.937799,35.686975,1978,"8","1978-08-15","Epicauta normalis","PreservedSpecimen","12198","UNM",1970
-111.824151,40.209983,1993,"6","1993-06-03","Epicauta normalis","PreservedSpecimen","23298","BYU",1990
-109.301783,38.810263,2013,"7","2013-07-25","Epicauta normalis","PreservedSpecimen","3036","BYU",2010
-111.855491,39.816066,2002,"7","2002-07-18","Epicauta normalis","PreservedSpecimen","1695","BYU",2000
-112.193053,40.760115,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-116.80028,43.72556,1929,"8","1929-08-00","Epicauta normalis","PreservedSpecimen","1183","UMNH",1920
-112.025,39.4,2010,"6","2010-06-21","Epicauta normalis","PreservedSpecimen",NA,"BYU",2010
-112.193053,40.760115,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-112.193053,40.760115,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-113.905009,41.348257,1995,"7","1995-07-29","Epicauta normalis","PreservedSpecimen","3036","BYU",1990
-112.224621,42.668489,1974,"9","1974-09-25","Epicauta normalis","PreservedSpecimen","64358","BYU",1970
-113.905009,41.348257,1995,"7","1995-07-29","Epicauta normalis","PreservedSpecimen","3036","BYU",1990
-112.72044,37.19305,2003,"8","2003-08-04","Epicauta normalis","PreservedSpecimen",NA,"BYU",2000
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-112.84167,37.63333,1954,"7","1954-07-06","Epicauta normalis","PreservedSpecimen","1807","UMNH",1950
-111.484134,40.168017,1962,"7","1962-07-04","Epicauta normalis","PreservedSpecimen","856","BYU",1960
-112.84167,37.63333,1955,"8","1955-08-05","Epicauta normalis","PreservedSpecimen","1807","UMNH",1950
-109.61199,40.15547,2007,"8","2007-08-10","Epicauta normalis","PreservedSpecimen",NA,"BYU",2000
-111.861441,40.746266,1950,"7","1950-07-29","Epicauta normalis","PreservedSpecimen","15356","UMNH",1950
-103.692174,39.263876,1998,"7","1998-07-04","Epicauta normalis","PreservedSpecimen","2657","BYU",1990
-111.682222,37.765278,2001,"6","2001-06-27","Epicauta normalis","PreservedSpecimen",NA,"BYU",2000
-112.57717,39.352178,1950,"8","1950-08-05","Epicauta normalis","PreservedSpecimen","2703","UMNH",1950
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-111.86619,39.786863,2000,"7","2000-07-03","Epicauta normalis","PreservedSpecimen","210","BYU",2000
-111.99255,39.41016,2006,"7","2006-07-11","Epicauta normalis","PreservedSpecimen",NA,"BYU",2000
-112.074167,40.535333,1999,"6","1999-06-21","Epicauta normalis","PreservedSpecimen","12391","BYU",1990
-109.692964,34.25357,1957,"6","1957-06-25","Epicauta normalis","PreservedSpecimen","3036","NMSU",1950
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-112.20428,39.72902,2006,"7","2006-07-11","Epicauta normalis","PreservedSpecimen",NA,"BYU",2000
-112.193053,40.760115,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-112.193053,40.760115,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-108.313257,30.69015,1957,"8","1957-08-27","Epicauta normalis","PreservedSpecimen","20259","BYU",1950
-113.905009,41.348257,1995,"7","1995-07-29","Epicauta normalis","PreservedSpecimen","3036","BYU",1990
-109.334852,40.369685,1953,"7","1953-07-29","Epicauta normalis","PreservedSpecimen","3036","NMSU",1950
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-112.187662,40.746459,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","1068","UMNH",1950
-111.948757,41.136323,1960,"7","1960-07-15","Epicauta normalis","PreservedSpecimen","4744","BYU",1960
-112.076051,40.513003,1999,"7","1999-07-21","Epicauta normalis","PreservedSpecimen","1506","BYU",1990
-111.861441,40.746266,1929,"7","1929-07-14","Epicauta normalis","PreservedSpecimen","15356","UMNH",1920
-106.3319,43.1661,2013,"8","2013-08-06","Epicauta normalis","PreservedSpecimen",NA,"BYU",2010
-106.3319,43.1661,2013,"8","2013-08-06","Epicauta normalis","PreservedSpecimen",NA,"BYU",2010
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-112.193053,40.760115,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-113.212676,40.188681,1953,"7","1953-07-01","Epicauta normalis","PreservedSpecimen","301","BYU",1950
-111.88722,40.66694,1960,"7","1960-07-01","Epicauta normalis","PreservedSpecimen","3105","UMNH",1960
-111.380729,38.896619,2002,"6","2002-06-18","Epicauta normalis","PreservedSpecimen","1506","BYU",2000
-107.967008,36.060293,1971,"7","1971-07-10","Epicauta normalis","PreservedSpecimen","1506","TTU",1970
-112.29945,40.532032,1946,"6","1946-06-07","Epicauta normalis","PreservedSpecimen","11143","BYU",1940
-111.861441,40.746266,1926,"6","1926-06-30","Epicauta normalis","PreservedSpecimen","15356","UMNH",1920
-112.84167,37.63333,1954,"7","1954-07-00","Epicauta normalis","PreservedSpecimen","1807","UMNH",1950
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-112.312361,40.328385,1953,"8","1953-08-09","Epicauta normalis","PreservedSpecimen","4604","BYU",1950
-112.312361,40.328385,1953,"8","1953-08-09","Epicauta normalis","PreservedSpecimen","4604","BYU",1950
-111.804544,39.792607,1949,"8","1949-08-08","Epicauta normalis","PreservedSpecimen","210","UMNH",1940
-112.08333,38.7725,1930,"6","1930-06-00","Epicauta normalis","PreservedSpecimen","1400","UMNH",1930
-109.52806,40.412082,1949,"8","1949-08-15","Epicauta normalis","PreservedSpecimen","1528","UMNH",1940
-112.072222,37.0725,2003,"7","2003-07-26","Epicauta normalis","PreservedSpecimen",NA,"BYU",2000
-111.111333,43.723252,1928,"6","1928-06-00","Epicauta normalis","PreservedSpecimen","1812","BYU",1920
-112.641052,38.276915,1991,"7","1991-07-04","Epicauta normalis","PreservedSpecimen","4489","BYU",1990
-109.33485,40.36968,1967,"7","1967-07-21","Epicauta normalis","Preserved specimen",NA,"TAMU",1960
-112.224621,42.668489,1973,"7","1973-07-10","Epicauta normalis","PreservedSpecimen","64358","BYU",1970
-112.193053,40.760115,1950,"7","1950-07-26","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-112.84167,37.63333,1955,"8","1955-08-05","Epicauta normalis","PreservedSpecimen","1807","UMNH",1950
-112.187662,40.746459,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","1068","UMNH",1950
-107.953164,40.466961,2000,"6","2000-06-26","Epicauta normalis","PreservedSpecimen","3036","BYU",2000
-106.3319,43.1661,2013,"8","2013-08-06","Epicauta normalis","PreservedSpecimen",NA,"BYU",2010
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-111.948757,41.136323,1960,"7","1960-07-15","Epicauta normalis","PreservedSpecimen","4744","BYU",1960
-112.0024,39.43857,2006,"7","2006-07-12","Epicauta normalis","PreservedSpecimen",NA,"BYU",2000
